animalia,animalia,A taxonomy focused on the categorization of various animals and their classifications.,,,,,,,,,,
mammals,,,Mammals,mammals,,,,,,,,
primates,,,,,Primates,primates,,,,,,
felidae,,,,,Felidae (Cats),felidae,,,,,,
canidae,,,,,Canidae (Dogs),canidae,,,,,,
rodentia,,,,,Rodentia (Rodents),rodentia,,,,,,
aves,,,Birds,aves,,,,,,,,
passeriformes,,,,,Passeriformes (Perching Birds),passeriformes,,,,,,
raptors,,,,,Raptors (Birds of Prey),raptors,,,,,,
waterfowl,,,,,Waterfowl,waterfowl,,,,,,
reptilia,,,Reptiles,reptilia,,,,,,,,
squamata,,,,,Squamata (Lizards and Snakes),squamata,,,,,,
testudines,,,,,Testudines (Turtles),testudines,,,,,,
crocodylia,,,,,Crocodylia (Crocodiles),crocodylia,,,,,,
amphibia,,,Amphibians,amphibia,,,,,,,,
anura,,,,,Anura (Frogs and Toads),anura,,,,,,
caudata,,,,,Caudata (Salamanders),caudata,,,,,,
gymnophiona,,,,,Gymnophiona (Caecilians),gymnophiona,,,,,,
pisces,,,Fish,fish,,,,,,,,
chondrichthyes,,,,,Chondrichthyes (Cartilaginous Fish),chondrichthyes,,,,,,
osteichthyes,,,,,Osteichthyes (Bony Fish),osteichthyes,,,,,,
insecta,,,Insects,insecta,,,,,,,,
lepidoptera,,,,,Lepidoptera (Butterflies and Moths),lepidoptera,,,,,,
coleoptera,,,,,Coleoptera (Beetles),coleoptera,,,,,,
diptera,,,,,Diptera (Flies),diptera,,,,,,
hymenoptera,,,,,Hymenoptera (Bees Wasps Ants),hymenoptera,,,,,,
arachnida,,,Arachnids,arachnida,,,,,,,,
araneae,,,,,Araneae (Spiders),araneae,,,,,,
scorpiones,,,,,Scorpiones (Scorpions),scorpiones,,,,,,
opiliones,,,,,Opiliones (Harvestmen),opiliones,,,,,,